detected_type,local_path,title,source_url,download_url,license,usage_terms,artist,credit,object_name,mime
cylindrical,data/images/cylindrical/recybat24_cylindrical_001_7_5_2_cyl.jpg,7_5_2_cyl.jpg,https://zenodo.org/records/15226091,https://zenodo.org/records/15226091/files/recybat24.tar.gz?download=1,CC-BY-4.0,Creative Commons Attribution 4.0 International,"Acaro Chacon, Ximena Carolina; Lo Scudo, Fabrizio; Cappuccino, Gregorio; Dodaro, Carmine","RecyBat24: an Image Dataset for LIB Recycling, Zenodo, DOI 10.5281/zenodo.15226091",7_5_2_cyl.jpg,image/jpeg
cylindrical,data/images/cylindrical/recybat24_cylindrical_002_4_4_1_cyl.jpg,4_4_1_cyl.jpg,https://zenodo.org/records/15226091,https://zenodo.org/records/15226091/files/recybat24.tar.gz?download=1,CC-BY-4.0,Creative Commons Attribution 4.0 International,"Acaro Chacon, Ximena Carolina; Lo Scudo, Fabrizio; Cappuccino, Gregorio; Dodaro, Carmine","RecyBat24: an Image Dataset for LIB Recycling, Zenodo, DOI 10.5281/zenodo.15226091",4_4_1_cyl.jpg,image/jpeg
cylindrical,data/images/cylindrical/recybat24_cylindrical_003_2_3_2_cyl.jpg,2_3_2_cyl.jpg,https://zenodo.org/records/15226091,https://zenodo.org/records/15226091/files/recybat24.tar.gz?download=1,CC-BY-4.0,Creative Commons Attribution 4.0 International,"Acaro Chacon, Ximena Carolina; Lo Scudo, Fabrizio; Cappuccino, Gregorio; Dodaro, Carmine","RecyBat24: an Image Dataset for LIB Recycling, Zenodo, DOI 10.5281/zenodo.15226091",2_3_2_cyl.jpg,image/jpeg
cylindrical,data/images/cylindrical/recybat24_cylindrical_004_8_5_3_cyl.jpg,8_5_3_cyl.jpg,https://zenodo.org/records/15226091,https://zenodo.org/records/15226091/files/recybat24.tar.gz?download=1,CC-BY-4.0,Creative Commons Attribution 4.0 International,"Acaro Chacon, Ximena Carolina; Lo Scudo, Fabrizio; Cappuccino, Gregorio; Dodaro, Carmine","RecyBat24: an Image Dataset for LIB Recycling, Zenodo, DOI 10.5281/zenodo.15226091",8_5_3_cyl.jpg,image/jpeg
cylindrical,data/images/cylindrical/recybat24_cylindrical_005_9_2_1_cyl.jpg,9_2_1_cyl.jpg,https://zenodo.org/records/15226091,https://zenodo.org/records/15226091/files/recybat24.tar.gz?download=1,CC-BY-4.0,Creative Commons Attribution 4.0 International,"Acaro Chacon, Ximena Carolina; Lo Scudo, Fabrizio; Cappuccino, Gregorio; Dodaro, Carmine","RecyBat24: an Image Dataset for LIB Recycling, Zenodo, DOI 10.5281/zenodo.15226091",9_2_1_cyl.jpg,image/jpeg
cylindrical,data/images/cylindrical/recybat24_cylindrical_006_9_2_2_cyl.jpg,9_2_2_cyl.jpg,https://zenodo.org/records/15226091,https://zenodo.org/records/15226091/files/recybat24.tar.gz?download=1,CC-BY-4.0,Creative Commons Attribution 4.0 International,"Acaro Chacon, Ximena Carolina; Lo Scudo, Fabrizio; Cappuccino, Gregorio; Dodaro, Carmine","RecyBat24: an Image Dataset for LIB Recycling, Zenodo, DOI 10.5281/zenodo.15226091",9_2_2_cyl.jpg,image/jpeg
cylindrical,data/images/cylindrical/recybat24_cylindrical_007_6_2_3_cyl.jpg,6_2_3_cyl.jpg,https://zenodo.org/records/15226091,https://zenodo.org/records/15226091/files/recybat24.tar.gz?download=1,CC-BY-4.0,Creative Commons Attribution 4.0 International,"Acaro Chacon, Ximena Carolina; Lo Scudo, Fabrizio; Cappuccino, Gregorio; Dodaro, Carmine","RecyBat24: an Image Dataset for LIB Recycling, Zenodo, DOI 10.5281/zenodo.15226091",6_2_3_cyl.jpg,image/jpeg
cylindrical,data/images/cylindrical/recybat24_cylindrical_008_9_1_3_cyl.jpg,9_1_3_cyl.jpg,https://zenodo.org/records/15226091,https://zenodo.org/records/15226091/files/recybat24.tar.gz?download=1,CC-BY-4.0,Creative Commons Attribution 4.0 International,"Acaro Chacon, Ximena Carolina; Lo Scudo, Fabrizio; Cappuccino, Gregorio; Dodaro, Carmine","RecyBat24: an Image Dataset for LIB Recycling, Zenodo, DOI 10.5281/zenodo.15226091",9_1_3_cyl.jpg,image/jpeg
cylindrical,data/images/cylindrical/recybat24_cylindrical_009_1_2_1_cyl.jpg,1_2_1_cyl.jpg,https://zenodo.org/records/15226091,https://zenodo.org/records/15226091/files/recybat24.tar.gz?download=1,CC-BY-4.0,Creative Commons Attribution 4.0 International,"Acaro Chacon, Ximena Carolina; Lo Scudo, Fabrizio; Cappuccino, Gregorio; Dodaro, Carmine","RecyBat24: an Image Dataset for LIB Recycling, Zenodo, DOI 10.5281/zenodo.15226091",1_2_1_cyl.jpg,image/jpeg
cylindrical,data/images/cylindrical/recybat24_cylindrical_010_4_5_2_cyl.jpg,4_5_2_cyl.jpg,https://zenodo.org/records/15226091,https://zenodo.org/records/15226091/files/recybat24.tar.gz?download=1,CC-BY-4.0,Creative Commons Attribution 4.0 International,"Acaro Chacon, Ximena Carolina; Lo Scudo, Fabrizio; Cappuccino, Gregorio; Dodaro, Carmine","RecyBat24: an Image Dataset for LIB Recycling, Zenodo, DOI 10.5281/zenodo.15226091",4_5_2_cyl.jpg,image/jpeg
cylindrical,data/images/cylindrical/recybat24_cylindrical_011_15_3_3_cyl.jpg,15_3_3_cyl.jpg,https://zenodo.org/records/15226091,https://zenodo.org/records/15226091/files/recybat24.tar.gz?download=1,CC-BY-4.0,Creative Commons Attribution 4.0 International,"Acaro Chacon, Ximena Carolina; Lo Scudo, Fabrizio; Cappuccino, Gregorio; Dodaro, Carmine","RecyBat24: an Image Dataset for LIB Recycling, Zenodo, DOI 10.5281/zenodo.15226091",15_3_3_cyl.jpg,image/jpeg
cylindrical,data/images/cylindrical/recybat24_cylindrical_012_9_4_1_cyl.jpg,9_4_1_cyl.jpg,https://zenodo.org/records/15226091,https://zenodo.org/records/15226091/files/recybat24.tar.gz?download=1,CC-BY-4.0,Creative Commons Attribution 4.0 International,"Acaro Chacon, Ximena Carolina; Lo Scudo, Fabrizio; Cappuccino, Gregorio; Dodaro, Carmine","RecyBat24: an Image Dataset for LIB Recycling, Zenodo, DOI 10.5281/zenodo.15226091",9_4_1_cyl.jpg,image/jpeg
cylindrical,data/images/cylindrical/recybat24_cylindrical_013_10_4_3_cyl.jpg,10_4_3_cyl.jpg,https://zenodo.org/records/15226091,https://zenodo.org/records/15226091/files/recybat24.tar.gz?download=1,CC-BY-4.0,Creative Commons Attribution 4.0 International,"Acaro Chacon, Ximena Carolina; Lo Scudo, Fabrizio; Cappuccino, Gregorio; Dodaro, Carmine","RecyBat24: an Image Dataset for LIB Recycling, Zenodo, DOI 10.5281/zenodo.15226091",10_4_3_cyl.jpg,image/jpeg
cylindrical,data/images/cylindrical/recybat24_cylindrical_014_12_1_1_cyl.jpg,12_1_1_cyl.jpg,https://zenodo.org/records/15226091,https://zenodo.org/records/15226091/files/recybat24.tar.gz?download=1,CC-BY-4.0,Creative Commons Attribution 4.0 International,"Acaro Chacon, Ximena Carolina; Lo Scudo, Fabrizio; Cappuccino, Gregorio; Dodaro, Carmine","RecyBat24: an Image Dataset for LIB Recycling, Zenodo, DOI 10.5281/zenodo.15226091",12_1_1_cyl.jpg,image/jpeg
cylindrical,data/images/cylindrical/recybat24_cylindrical_015_6_1_1_cyl.jpg,6_1_1_cyl.jpg,https://zenodo.org/records/15226091,https://zenodo.org/records/15226091/files/recybat24.tar.gz?download=1,CC-BY-4.0,Creative Commons Attribution 4.0 International,"Acaro Chacon, Ximena Carolina; Lo Scudo, Fabrizio; Cappuccino, Gregorio; Dodaro, Carmine","RecyBat24: an Image Dataset for LIB Recycling, Zenodo, DOI 10.5281/zenodo.15226091",6_1_1_cyl.jpg,image/jpeg
cylindrical,data/images/cylindrical/recybat24_cylindrical_016_2_5_1_cyl.jpg,2_5_1_cyl.jpg,https://zenodo.org/records/15226091,https://zenodo.org/records/15226091/files/recybat24.tar.gz?download=1,CC-BY-4.0,Creative Commons Attribution 4.0 International,"Acaro Chacon, Ximena Carolina; Lo Scudo, Fabrizio; Cappuccino, Gregorio; Dodaro, Carmine","RecyBat24: an Image Dataset for LIB Recycling, Zenodo, DOI 10.5281/zenodo.15226091",2_5_1_cyl.jpg,image/jpeg
cylindrical,data/images/cylindrical/recybat24_cylindrical_017_6_5_1_cyl.jpg,6_5_1_cyl.jpg,https://zenodo.org/records/15226091,https://zenodo.org/records/15226091/files/recybat24.tar.gz?download=1,CC-BY-4.0,Creative Commons Attribution 4.0 International,"Acaro Chacon, Ximena Carolina; Lo Scudo, Fabrizio; Cappuccino, Gregorio; Dodaro, Carmine","RecyBat24: an Image Dataset for LIB Recycling, Zenodo, DOI 10.5281/zenodo.15226091",6_5_1_cyl.jpg,image/jpeg
cylindrical,data/images/cylindrical/recybat24_cylindrical_018_3_4_1_cyl.jpg,3_4_1_cyl.jpg,https://zenodo.org/records/15226091,https://zenodo.org/records/15226091/files/recybat24.tar.gz?download=1,CC-BY-4.0,Creative Commons Attribution 4.0 International,"Acaro Chacon, Ximena Carolina; Lo Scudo, Fabrizio; Cappuccino, Gregorio; Dodaro, Carmine","RecyBat24: an Image Dataset for LIB Recycling, Zenodo, DOI 10.5281/zenodo.15226091",3_4_1_cyl.jpg,image/jpeg
cylindrical,data/images/cylindrical/recybat24_cylindrical_019_1_1_3_cyl.jpg,1_1_3_cyl.jpg,https://zenodo.org/records/15226091,https://zenodo.org/records/15226091/files/recybat24.tar.gz?download=1,CC-BY-4.0,Creative Commons Attribution 4.0 International,"Acaro Chacon, Ximena Carolina; Lo Scudo, Fabrizio; Cappuccino, Gregorio; Dodaro, Carmine","RecyBat24: an Image Dataset for LIB Recycling, Zenodo, DOI 10.5281/zenodo.15226091",1_1_3_cyl.jpg,image/jpeg
cylindrical,data/images/cylindrical/recybat24_cylindrical_020_5_5_2_cyl.jpg,5_5_2_cyl.jpg,https://zenodo.org/records/15226091,https://zenodo.org/records/15226091/files/recybat24.tar.gz?download=1,CC-BY-4.0,Creative Commons Attribution 4.0 International,"Acaro Chacon, Ximena Carolina; Lo Scudo, Fabrizio; Cappuccino, Gregorio; Dodaro, Carmine","RecyBat24: an Image Dataset for LIB Recycling, Zenodo, DOI 10.5281/zenodo.15226091",5_5_2_cyl.jpg,image/jpeg
